,fromlong,fromlat,tolong,tolat
112,40.75008,-73.99147,40.75033,-73.99147
113,40.77397,-73.87284,40.77409,-73.87303
114,40.77405,-73.87294,40.7741,-73.87307
115,40.75003,-73.9914,40.75019,-73.9913
116,40.64466,-73.78191,40.64468,-73.78199
117,40.75009,-73.9914,40.75025,-73.99156
118,40.75006,-73.99147,40.75008,-73.9916
119,40.64471,-73.78186,40.64477,-73.78177
120,40.75091,-73.99433,40.75125,-73.994
121,40.74996,-73.99147,40.74996,-73.99147
122,40.7499,-73.99144,40.75006,-73.99147
123,40.75005,-73.99131,40.75008,-73.99154
124,40.64469,-73.78196,40.64474,-73.78205
125,40.77402,-73.87293,40.7741,-73.87307
126,40.77407,-73.87326,40.77418,-73.87294
127,40.77368,-73.87079,40.77376,-73.87084
128,40.75617,-73.9904,40.75622,-73.99066
129,40.76993,-73.86322,40.77,-73.86344
130,40.7499,-73.99163,40.75032,-73.99143
131,40.77365,-73.87077,40.7737,-73.87085
132,40.75115,-73.99411,40.75116,-73.99409
133,40.76987,-73.86322,40.76987,-73.86322
134,40.75603,-73.99066,40.75622,-73.99079
135,40.77902,-73.96228,40.77925,-73.96221
136,40.77413,-73.87315,40.77418,-73.87306
137,40.75004,-73.99153,40.75004,-73.99137
138,40.75106,-73.99419,40.75131,-73.99404
139,40.75027,-73.99452,40.75043,-73.99459
140,40.73389,-73.98062,40.73389,-73.98062
141,40.75111,-73.99411,40.75125,-73.994
142,40.77408,-73.87302,40.7741,-73.87313
143,40.77378,-73.87088,40.77378,-73.87088
144,40.64463,-73.78195,40.64471,-73.78192
145,40.75123,-73.99407,40.75125,-73.99405
146,40.75102,-73.99417,40.75114,-73.99414
147,40.75006,-73.99166,40.75008,-73.99143
148,40.73646,-73.98899,40.73672,-73.9888
149,40.76824,-73.98239,40.76836,-73.98233
150,40.77408,-73.87302,40.7741,-73.87315
151,40.75001,-73.99172,40.75019,-73.99136
152,40.75627,-73.99031,40.75627,-73.99031
153,40.75012,-73.99143,40.75033,-73.99134
154,40.7792,-73.96221,40.77928,-73.96218
155,40.75225,-73.97827,40.75262,-73.9783
156,40.75109,-73.99423,40.7512,-73.99399
157,40.75109,-73.99423,40.75114,-73.99414
158,40.76044,-74.0029,40.76052,-74.00276
